x,y
43.2,120.096
45.792,84.672
35.424,101.952
34.56,83.808
72.576,125.28
44.928,40.608
73.44,107.136
55.296,146.016
39.744,126.144
31.104,114.912
57.888,137.376
59.616,273.024
43.2,168.48
63.936,85.536
73.44,103.68
69.984,72.576
77.76,136.512
27.648,189.216
69.984,230.688
38.016,141.696
38.88,111.456
31.104,217.728
67.392,207.36
93.312,95.904
31.104,106.272
78.624,110.592
43.2,143.424
31.104,126.144
72.576,64.8
26.784,63.936
48.384,42.336
70.848,146.016
45.792,151.2
66.528,104.544
42.336,125.28
31.104,125.28
65.664,150.336
46.656,83.808
76.896,103.68
31.968,126.144
27.648,171.936
37.152,126.144
53.568,63.936
79.488,63.936
73.44,108.0
31.104,86.4
54.432,85.536
